_input,_num,_widgetName,_source,_resultNumber,_pageUrl,teams,score,odds,result,logo
,201,coversWithOT,coversWithOT,201,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882953.html,CHI; CHAR,102; 95,-3.5; 190.5,Cover: +3.5; Over: 197,Cover: +3.5; Over: 197
,202,coversWithOT,coversWithOT,202,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882961.html,TOR; UTA,123; 104,-3.5; 201,Cover: +15.5; Over: 227,Cover: +15.5; Over: 227
,203,coversWithOT,coversWithOT,203,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882962.html,ORL; LAC,86; 114,202; -15,Under: 200; Cover: +13,Under: 200; Cover: +13
,204,coversWithOT,coversWithOT,204,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882958.html,MEM; HOU,96; 105,189.5; 5,Over: 201; Cover: +14,Over: 201; Cover: +14
,205,coversWithOT,coversWithOT,205,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882955.html,DET; BOS,,102; 109,,202; -4.5
,206,coversWithOT,coversWithOT,206,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882960.html,PHI; MIN,85; 77,7; 212,Cover: +15; Under: 162,Cover: +15; Under: 162
,207,coversWithOT,coversWithOT,207,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882957.html,ATL; MIA,112; 102,4.5; 199.5,Cover: +14.5; Over: 214,Cover: +14.5; Over: 214
,208,coversWithOT,coversWithOT,208,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882956.html,SA; BK,,93; 95,,198; 8.5
,209,coversWithOT,coversWithOT,209,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882845.html,MIL; BK,,122; 118,,6.5; 198.5
,210,coversWithOT,coversWithOT,210,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882844.html,DAL; WAS,105; 102,-2.5; 204,Cover: +0.5; Over: 207,Cover: +0.5; Over: 207
,211,coversWithOT,coversWithOT,211,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882841.html,CHAR; IND,86; 88,2; 179.5,Push; Under: 174,Push; Under: 174
,212,coversWithOT,coversWithOT,212,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882847.html,MEM; TOR,92; 96,6; 192.5,Cover: +2; Under: 188,Cover: +2; Under: 188
,213,coversWithOT,coversWithOT,213,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882840.html,SA; CLE,92; 90,1.5; 200,Cover: +3.5; Under: 182,Cover: +3.5; Under: 182
,214,coversWithOT,coversWithOT,214,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882849.html,OKC; DEN,100; 107,7; 199,Push; Over: 207,Push; Over: 207
,215,coversWithOT,coversWithOT,215,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882843.html,BOS; PHI,101; 90,-6.5; 213.5,Cover: +4.5; Under: 191,Cover: +4.5; Under: 191
