_input,_num,_widgetName,_source,_resultNumber,_pageUrl,teams,score,odds,result,logo
,293,coversWithOT,coversWithOT,293,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865095.html,DAL; DEN,110; 115,220.5; 5,Over: 225; Cover: +10,Over: 225; Cover: +10
,294,coversWithOT,coversWithOT,294,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865374.html,MIL; WAS,91; 104,204.5; -11,Under: 195; Cover: +2,Under: 195; Cover: +2
,295,coversWithOT,coversWithOT,295,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865400.html,ATL; MIL,111; 103,3; 204.5,Cover: +11; Over: 214,Cover: +11; Over: 214
,296,coversWithOT,coversWithOT,296,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865388.html,MIL; TOR,100; 110,10; 204.5,Push; Over: 210,Push; Over: 210
,297,coversWithOT,coversWithOT,297,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865248.html,ATL; MIN,83; 107,214.5; -5.5,Under: 190; Cover: +18.5,Under: 190; Cover: +18.5
,298,coversWithOT,coversWithOT,298,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883075.html,MIN; BOS,98; 114,212; -6,Push; Cover: +10,Push; Cover: +10
,299,coversWithOT,coversWithOT,299,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865372.html,SAC; LAC,101; 117,205.5; -11,Over: 218; Cover: +5,Over: 218; Cover: +5
,300,coversWithOT,coversWithOT,300,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865373.html,PHI; CHAR,105; 111,12; 206,Cover: +6; Over: 216,Cover: +6; Over: 216
,301,coversWithOT,coversWithOT,301,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865375.html,MIA; ATL,85; 98,195; 5.5,Under: 183; Cover: +18.5,Under: 183; Cover: +18.5
,302,coversWithOT,coversWithOT,302,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865379.html,UTA; DEN,94; 101,9.5; 212,Cover: +2.5; Under: 195,Cover: +2.5; Under: 195
,303,coversWithOT,coversWithOT,303,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865377.html,NO; HOU,104; 111,15; 213,Cover: +8; Over: 215,Cover: +8; Over: 215
,304,coversWithOT,coversWithOT,304,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865378.html,PHO; DAL,98; 101,4.5; 210,Cover: +1.5; Under: 199,Cover: +1.5; Under: 199
,305,coversWithOT,coversWithOT,305,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865376.html,BOS; CLE,111; 99,9; 206.5,Cover: +21; Over: 210,Cover: +21; Over: 210
,306,coversWithOT,coversWithOT,306,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865413.html,GS; DEN,116; 112,8.5; 209,Cover: +12.5; Over: 228,Cover: +12.5; Over: 228
,307,coversWithOT,coversWithOT,307,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865408.html,PHI; MIA,100; 87,5.5; 207,Cover: +18.5; Under: 187,Cover: +18.5; Under: 187
,308,coversWithOT,coversWithOT,308,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865401.html,UTA; MIN,,136; 130,,11.5; 211
,309,coversWithOT,coversWithOT,309,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865409.html,TOR; NY,92; 95,198.5; 6,Under: 187; Cover: +9,Under: 187; Cover: +9
,310,coversWithOT,coversWithOT,310,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865399.html,DAL; MEM,,105; 106,,3; 190.5
,311,coversWithOT,coversWithOT,311,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865412.html,PHO; SAC,104; 99,-2; 207,Cover: +3; Under: 203,Cover: +3; Under: 203
,312,coversWithOT,coversWithOT,312,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865407.html,BK; CLE,85; 114,197.5; -8,Over: 199; Cover: +21,Over: 199; Cover: +21
,313,coversWithOT,coversWithOT,313,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865404.html,LAL; SA,113; 100,9; 216,Cover: +22; Under: 213,Cover: +22; Under: 213
,314,coversWithOT,coversWithOT,314,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865410.html,IND; ORL,101; 86,3.5; 187,Cover: +18.5; Push,Cover: +18.5; Push
,315,coversWithOT,coversWithOT,315,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865403.html,DET; OKC,111; 112,14.5; 213,Cover: +13.5; Over: 223,Cover: +13.5; Over: 223
,316,coversWithOT,coversWithOT,316,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865402.html,HOU; NO,100; 105,208.5; -3,Under: 205; Cover: +2,Under: 205; Cover: +2
,317,coversWithOT,coversWithOT,317,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865405.html,WAS; BOS,118; 102,-8; 197.5,Cover: +8; Over: 220,Cover: +8; Over: 220
,318,coversWithOT,coversWithOT,318,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865406.html,CHI; CHAR,,86; 91,,180; -2
,319,coversWithOT,coversWithOT,319,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865411.html,LAC; POR,104; 110,207; -3.5,Over: 214; Cover: +2.5,Over: 214; Cover: +2.5
,320,coversWithOT,coversWithOT,320,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865390.html,CHAR; ATL,95; 93,195.5; 5,Under: 188; Cover: +3,Under: 188; Cover: +3
,321,coversWithOT,coversWithOT,321,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865389.html,MIA; WAS,93; 114,190; -5.5,Over: 207; Cover: +15.5,Over: 207; Cover: +15.5
,322,coversWithOT,coversWithOT,322,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865392.html,SA; HOU,98; 104,211.5; -5.5,Under: 202; Cover: +0.5,Under: 202; Cover: +0.5
,323,coversWithOT,coversWithOT,323,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865387.html,BOS; PHI,108; 113,212.5; 2.5,Over: 221; Cover: +7.5,Over: 221; Cover: +7.5
,324,coversWithOT,coversWithOT,324,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865394.html,LAL; UTA,119; 104,6; 214,Cover: +21; Over: 223,Cover: +21; Over: 223
,325,coversWithOT,coversWithOT,325,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865393.html,OKC; NO,89; 101,204.5; 8.5,Under: 190; Cover: +20.5,Under: 190; Cover: +20.5
,326,coversWithOT,coversWithOT,326,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865395.html,MEM; PHO,97; 91,3.5; 194,Cover: +9.5; Under: 188,Cover: +9.5; Under: 188
,327,coversWithOT,coversWithOT,327,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865396.html,MIN; GS,120; 130,212; -7.5,Over: 250; Cover: +2.5,Over: 250; Cover: +2.5
,328,coversWithOT,coversWithOT,328,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865391.html,ORL; CHI,95; 108,182.5; -11,Over: 203; Cover: +2,Over: 203; Cover: +2
,329,coversWithOT,coversWithOT,329,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882947.html,DAL; CHI,,132; 129,,1; 203
,330,coversWithOT,coversWithOT,330,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865250.html,MIA; IND,83; 84,2; 186.5,Cover: +1; Under: 167,Cover: +1; Under: 167
,331,coversWithOT,coversWithOT,331,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865244.html,BK; CHAR,,111; 116,,190.5; -2
,332,coversWithOT,coversWithOT,332,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865252.html,NY; SAC,107; 99,-2.5; 200,Cover: +5.5; Over: 206,Cover: +5.5; Over: 206
,333,coversWithOT,coversWithOT,333,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865251.html,DEN; SA,103; 108,13.5; 216,Cover: +8.5; Under: 211,Cover: +8.5; Under: 211
,334,coversWithOT,coversWithOT,334,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865245.html,PHO; WAS,99; 93,-1.5; 208,Cover: +4.5; Under: 192,Cover: +4.5; Under: 192
,335,coversWithOT,coversWithOT,335,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865246.html,TOR; BOS,99; 90,-3.5; 196,Cover: +5.5; Under: 189,Cover: +5.5; Under: 189
,336,coversWithOT,coversWithOT,336,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865253.html,MEM; UTA,91; 87,182.5; 8.5,Under: 178; Cover: +4.5,Under: 178; Cover: +4.5
,337,coversWithOT,coversWithOT,337,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865247.html,CLE; DET,97; 96,6.5; 204.5,Cover: +7.5; Under: 193,Cover: +7.5; Under: 193
,338,coversWithOT,coversWithOT,338,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865249.html,LAC; NO,96; 98,205.5; 7.5,Under: 194; Cover: +9.5,Under: 194; Cover: +9.5
,339,coversWithOT,coversWithOT,339,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883076.html,BK; CLE,91; 95,10.5; 198,Cover: +6.5; Under: 186,Cover: +6.5; Under: 186
,340,coversWithOT,coversWithOT,340,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883080.html,POR; SA,,129; 119,,4.5; 197
,341,coversWithOT,coversWithOT,341,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883082.html,OKC; LAL,104; 103,204.5; 5.5,Over: 207; Cover: +4.5,Over: 207; Cover: +4.5
,342,coversWithOT,coversWithOT,342,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883077.html,TOR; DET,110; 100,-7; 198,Cover: +3; Over: 210,Cover: +3; Over: 210
,343,coversWithOT,coversWithOT,343,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883078.html,WAS; MIA,105; 103,189; 6,Over: 208; Cover: +4,Over: 208; Cover: +4
,344,coversWithOT,coversWithOT,344,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883081.html,LAC; DEN,106; 109,215.5; 3,Under: 215; Cover: +6,Under: 215; Cover: +6
,345,coversWithOT,coversWithOT,345,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883079.html,CHI; MEM,103; 97,6; 191.5,Cover: +12; Over: 200,Cover: +12; Over: 200
,346,coversWithOT,coversWithOT,346,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883074.html,CHAR; PHI,109; 91,-4.5; 192.5,Cover: +13.5; Over: 200,Cover: +13.5; Over: 200
,347,coversWithOT,coversWithOT,347,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883073.html,UTA; ORL,101; 94,4; 193,Cover: +11; Over: 195,Cover: +11; Over: 195
,348,coversWithOT,coversWithOT,348,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882946.html,BK; NY,98; 93,-1; 193.5,Cover: +4; Under: 191,Cover: +4; Under: 191
,349,coversWithOT,coversWithOT,349,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882944.html,BOS; ATL,105; 109,7; 211,Cover: +3; Over: 214,Cover: +3; Over: 214
,350,coversWithOT,coversWithOT,350,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882952.html,ORL; GS,97; 98,14.5; 201.5,Cover: +13.5; Under: 195,Cover: +13.5; Under: 195
,351,coversWithOT,coversWithOT,351,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882951.html,TOR; SAC,117; 109,-2.5; 203.5,Cover: +5.5; Over: 226,Cover: +5.5; Over: 226
,352,coversWithOT,coversWithOT,352,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882943.html,MIL; CLE,108; 111,10.5; 201.5,Cover: +7.5; Over: 219,Cover: +7.5; Over: 219
,353,coversWithOT,coversWithOT,353,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882945.html,LAL; DET,106; 96,2; 206.5,Cover: +12; Under: 202,Cover: +12; Under: 202
,354,coversWithOT,coversWithOT,354,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882949.html,POR; DEN,105; 103,211.5; 3,Under: 208; Cover: +1,Under: 208; Cover: +1
,355,coversWithOT,coversWithOT,355,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882948.html,OKC; NO,104; 112,197; 3.5,Over: 216; Cover: +11.5,Over: 216; Cover: +11.5
,356,coversWithOT,coversWithOT,356,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882950.html,IND; PHO,99; 116,196.5; -5,Over: 215; Cover: +12,Over: 215; Cover: +12
,357,coversWithOT,coversWithOT,357,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883166.html,SAC; MIN,110; 107,211.5; 4.5,Over: 217; Cover: +1.5,Over: 217; Cover: +1.5
,358,coversWithOT,coversWithOT,358,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883165.html,DEN; CHI,101; 106,10.5; 204.5,Cover: +5.5; Over: 207,Cover: +5.5; Over: 207
,359,coversWithOT,coversWithOT,359,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882907.html,ORL; IND,83; 98,191; -4.5,Under: 181; Cover: +10.5,Under: 181; Cover: +10.5
,360,coversWithOT,coversWithOT,360,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore864733.html,ORL; DAL,88; 107,198; -12.5,Under: 195; Cover: +6.5,Under: 195; Cover: +6.5
,361,coversWithOT,coversWithOT,361,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882798.html,ORL; NY,97; 95,6.5; 191,Cover: +8.5; Over: 192,Cover: +8.5; Over: 192
,362,coversWithOT,coversWithOT,362,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882911.html,MIN; LAL,120; 119,5.5; 213,Cover: +6.5; Over: 239,Cover: +6.5; Over: 239
,363,coversWithOT,coversWithOT,363,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882902.html,GS; CHAR,106; 101,201; 8.5,Over: 207; Cover: +3.5,Over: 207; Cover: +3.5
,364,coversWithOT,coversWithOT,364,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882909.html,PHO; DEN,97; 122,215.5; -2,Over: 219; Cover: +23,Over: 219; Cover: +23
,365,coversWithOT,coversWithOT,365,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882904.html,DAL; TOR,106; 102,3.5; 211,Cover: +7.5; Under: 208,Cover: +7.5; Under: 208
,366,coversWithOT,coversWithOT,366,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882905.html,LAC; HOU,102; 85,-4.5; 201,Cover: +12.5; Under: 187,Cover: +12.5; Under: 187
,367,coversWithOT,coversWithOT,367,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882908.html,SAC; SA,104; 112,10.5; 194.5,Cover: +2.5; Over: 216,Cover: +2.5; Over: 216
,368,coversWithOT,coversWithOT,368,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882903.html,MIL; DET,104; 88,2; 191,Cover: +18; Over: 192,Cover: +18; Over: 192
,369,coversWithOT,coversWithOT,369,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882932.html,NO; ATL,91; 100,204.5; -2.5,Under: 191; Cover: +6.5,Under: 191; Cover: +6.5
,370,coversWithOT,coversWithOT,370,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882906.html,NY; OKC,78; 105,186; -8,Under: 183; Cover: +19,Under: 183; Cover: +19
,371,coversWithOT,coversWithOT,371,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882901.html,CHI; BOS,109; 102,-3.5; 204.5,Cover: +3.5; Over: 211,Cover: +3.5; Over: 211
,372,coversWithOT,coversWithOT,372,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882910.html,MEM; POR,112; 99,3.5; 194,Cover: +16.5; Over: 211,Cover: +16.5; Over: 211
,373,coversWithOT,coversWithOT,373,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882799.html,POR; DEN,130; 113,2.5; 208.5,Cover: +19.5; Over: 243,Cover: +19.5; Over: 243
,374,coversWithOT,coversWithOT,374,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882794.html,DET; WAS,103; 107,6; 192,Cover: +2; Over: 210,Cover: +2; Over: 210
,375,coversWithOT,coversWithOT,375,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882936.html,LAL; NO,102; 109,10.5; 209,Cover: +3.5; Over: 211,Cover: +3.5; Over: 211
,376,coversWithOT,coversWithOT,376,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882796.html,OKC; BOS,109; 94,7.5; 197,Cover: +22.5; Over: 203,Cover: +22.5; Over: 203
,377,coversWithOT,coversWithOT,377,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore864731.html,WAS; CHI,102; 88,2.5; 180.5,Cover: +16.5; Over: 190,Cover: +16.5; Over: 190
,378,coversWithOT,coversWithOT,378,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore864732.html,SA; NO,101; 95,197; 7,Under: 196; Cover: +1,Under: 196; Cover: +1
,379,coversWithOT,coversWithOT,379,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore864729.html,HOU; BOS,104; 92,-6; 208,Cover: +6; Under: 196,Cover: +6; Under: 196
,380,coversWithOT,coversWithOT,380,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882800.html,BK; PHO,104; 112,207.5; -4.5,Over: 216; Cover: +3.5,Over: 216; Cover: +3.5
,381,coversWithOT,coversWithOT,381,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore864734.html,DEN; UTA,103; 118,203.5; 6,Over: 221; Cover: +21,Over: 221; Cover: +21
,382,coversWithOT,coversWithOT,382,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882797.html,IND; MIA,81; 75,8.5; 187.5,Cover: +14.5; Under: 156,Cover: +14.5; Under: 156
,383,coversWithOT,coversWithOT,383,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882795.html,UTA; ATL,97; 100,7; 197.5,Cover: +4; Under: 197,Cover: +4; Under: 197
,384,coversWithOT,coversWithOT,384,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore864730.html,PHO; NY,,96; 98,,4; 198
,385,coversWithOT,coversWithOT,385,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882801.html,HOU; MIN,113; 101,-6; 206,Cover: +6; Over: 214,Cover: +6; Over: 214
,386,coversWithOT,coversWithOT,386,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore864728.html,MIL; TOR,94; 116,187.5; -10.5,Over: 210; Cover: +11.5,Over: 210; Cover: +11.5
,387,coversWithOT,coversWithOT,387,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883125.html,IND; DET,109; 119,194; 2.5,Over: 228; Cover: +12.5,Over: 228; Cover: +12.5
,388,coversWithOT,coversWithOT,388,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883155.html,DET; ORL,109; 86,-1.5; 197.5,Cover: +21.5; Under: 195,Cover: +21.5; Under: 195
,389,coversWithOT,coversWithOT,389,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883093.html,DET; BK,105; 110,189.5; -2,Over: 215; Cover: +3,Over: 215; Cover: +3
,390,coversWithOT,coversWithOT,390,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883143.html,DET; CLE,103; 80,7.5; 204.5,Cover: +30.5; Under: 183,Cover: +30.5; Under: 183
,391,coversWithOT,coversWithOT,391,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883062.html,DAL; DET,117; 106,-7; 204.5,Cover: +4; Over: 223,Cover: +4; Over: 223
,392,coversWithOT,coversWithOT,392,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883131.html,PHI; POR,93; 114,198; -12.5,Over: 207; Cover: +8.5,Over: 207; Cover: +8.5
,393,coversWithOT,coversWithOT,393,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883122.html,BK; BOS,109; 107,2; 201,Cover: +4; Over: 216,Cover: +4; Over: 216
,394,coversWithOT,coversWithOT,394,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883124.html,MIL; ATL,107; 77,9; 204.5,Cover: +39; Under: 184,Cover: +39; Under: 184
,395,coversWithOT,coversWithOT,395,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883129.html,LAL; DAL,98; 102,13; 214.5,Cover: +9; Under: 200,Cover: +9; Under: 200
,396,coversWithOT,coversWithOT,396,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883130.html,MIN; DEN,102; 106,10; 212.5,Cover: +6; Under: 208,Cover: +6; Under: 208
,397,coversWithOT,coversWithOT,397,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883123.html,CLE; ORL,98; 89,-3.5; 196,Cover: +5.5; Under: 187,Cover: +5.5; Under: 187
,398,coversWithOT,coversWithOT,398,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883128.html,CHAR; OKC,75; 98,197.5; -6.5,Under: 173; Cover: +16.5,Under: 173; Cover: +16.5
,399,coversWithOT,coversWithOT,399,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883127.html,SA; NO,90; 97,202.5; -3,Under: 187; Cover: +4,Under: 187; Cover: +4
,400,coversWithOT,coversWithOT,400,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883132.html,PHO; SAC,115; 106,-5; 212.5,Cover: +4; Over: 221,Cover: +4; Over: 221
,401,coversWithOT,coversWithOT,401,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883126.html,HOU; MEM,,117; 111,,2; 193
,402,coversWithOT,coversWithOT,402,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883158.html,SA; MEM,87; 95,195; -1,Under: 182; Cover: +7,Under: 182; Cover: +7
,403,coversWithOT,coversWithOT,403,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883164.html,PHI; GS,86; 126,209; -17.5,Over: 212; Cover: +22.5,Over: 212; Cover: +22.5
,404,coversWithOT,coversWithOT,404,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883163.html,TOR; POR,,97; 102,,209.5; -3.5
,405,coversWithOT,coversWithOT,405,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883156.html,CLE; ATL,101; 109,202; -6.5,Over: 210; Cover: +1.5,Over: 210; Cover: +1.5
,406,coversWithOT,coversWithOT,406,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883159.html,PHO; NO,106; 110,213; -2,Over: 216; Cover: +2,Over: 216; Cover: +2
,407,coversWithOT,coversWithOT,407,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883161.html,LAL; DEN,111; 103,5.5; 214.5,Cover: +13.5; Under: 214,Cover: +13.5; Under: 214
,408,coversWithOT,coversWithOT,408,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883160.html,WAS; DAL,87; 114,210; -5,Under: 201; Cover: +22,Under: 201; Cover: +22
,409,coversWithOT,coversWithOT,409,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883157.html,BK; CHI,96; 82,10; 196.5,Cover: +24; Under: 178,Cover: +24; Under: 178
,410,coversWithOT,coversWithOT,410,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883162.html,MIN; UTA,94; 100,7; 202.5,Cover: +1; Under: 194,Cover: +1; Under: 194
,411,coversWithOT,coversWithOT,411,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883095.html,PHI; ORL,96; 88,9; 193.5,Cover: +17; Under: 184,Cover: +17; Under: 184
,412,coversWithOT,coversWithOT,412,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883146.html,NY; POR,79; 101,203.5; -11.5,Under: 180; Cover: +10.5,Under: 180; Cover: +10.5
,413,coversWithOT,coversWithOT,413,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883094.html,BOS; MIA,84; 100,198.5; 3,Under: 184; Cover: +19,Under: 184; Cover: +19
